School ID,Grade Cluster,School Name,name check,grades,System ID,System Name,Content Mastery,Progress,Closing Gaps,Readiness,Graduation Rate,CCRPI Score,Single Score,English Language Arts Participation Rate,English Language Arts Indicator,English Language Arts Target,Mathematics Participation Rate,Mathematics Indicator,Mathematics Target,Science Participation Rate,Science Indicator,Science Target,Social Studies Participation Rate,Social Studies Indicator,Social Studies Target
212,H,KIPP Atlanta Collegiate Academy,KIPP Atlanta Collegiate Academy,09-12¾,761,Atlanta Public Schools,52,67.6,71.9,70.9,88.2,66.9,66.9,98.79%,62.96,58.53,97.71%,35.8,44.55,98.05%,35.07,45.68,99.66%,74.23,68.64
5066,E,Barack and Michelle Obama Academy,Barack and Michelle Obama Academy,PK-05¾,761,Atlanta Public Schools,34.6,66.1,16.7,70.7,NA,50.2,50.2,100.00%,40.91,41.07,100.00%,38.39,50.1,100.00%,20.28,37.82,100.00%,18.92,28.52
4560,H,Grady High School,Grady High School,09-12¾,761,Atlanta Public Schools,91.1,84.9,82.8,84.9,91.3,87.5,87.5,100.00%,96.12,88.37,100.00%,88.04,83.23,100.00%,97.18,90,100.00%,83.01,77.97
2560,E,Gideons Elementary School,Gideons Elementary School,PK-05¾,761,Atlanta Public Schools,32.9,79,71.4,64.5,NA,61.1,61.1,100.00%,29.1,26.5,100.00%,51.82,47.39,100.00%,7.69,14.51,100.00%,12.5,17.21
206,M,Atlanta Neighborhood Charter - Middle,Atlanta Neighborhood Charter - Middle,06-08¾,761,Atlanta Public Schools,79.7,78.9,55.6,91.7,NA,78.2,78.2,100.00%,89.92,79.32,100.00%,75.24,79.03,100.00%,68.92,66.38,100.00%,72.97,67.2
186,H,"Maynard H. Jackson, Jr. High School","Maynard H. Jackson, Jr. High School",09-12¾,761,Atlanta Public Schools,59,92.3,100,70.7,84.9,78.7,78.7,98.98%,70.69,59.84,98.60%,51.87,44.49,98.48%,55.86,49.4,97.98%,57.63,56.09
1412,H,South Atlanta High School,South Atlanta High School,09-12¾,761,Atlanta Public Schools,39.4,78.4,57.1,52.7,86.8,62,62,99.29%,44.95,43.77,96.88%,26.35,21.96,98.05%,38.43,41.92,100.00%,47.96,50.43
1066,E,Rivers Elementary School,Rivers Elementary School,PK-05¾,761,Atlanta Public Schools,81,96.3,100,83.3,NA,89.7,89.7,100.00%,78.3,74.28,99.43%,78.31,71.02,99.03%,91.41,78.21,99.03%,86.36,78.78
1563,M,Inman Middle School,Inman Middle School,06-08¾,761,Atlanta Public Schools,97.7,82.4,70.3,90.8,NA,86.9,86.9,99.61%,100,90,99.71%,98.32,90,99.71%,89.34,90,99.71%,97.27,90
100,M,Brown Middle School,Brown Middle School,06-08¾,761,Atlanta Public Schools,37.6,84.2,78.1,68,NA,66.1,66.1,99.59%,39.94,35.91,99.59%,34.54,35.74,99.44%,41.12,38.08,99.44%,35.86,33.62
207,E,Hillside Conant School,Hillside Conant School,01-12¾,761,Atlanta Public Schools,TFS,NA,NA,97.7,NA,NA,NA,TFS,TFS,NA,TFS,TFS,NA,TFS,TFS,NA,TFS,TFS,NA
207,H,Hillside Conant School,Hillside Conant School,01-12¾,761,Atlanta Public Schools,TFS,TFS,NA,100,0,NA,NA,TFS,TFS,NA,TFS,TFS,NA,TFS,TFS,NA,TFS,TFS,NA
207,M,Hillside Conant School,Hillside Conant School,01-12¾,761,Atlanta Public Schools,TFS,TFS,NA,100,NA,NA,NA,100.00%,TFS,NA,100.00%,TFS,NA,TFS,TFS,NA,TFS,TFS,NA
505,E,Atlanta Neighborhood Charter - Elementary,Atlanta Neighborhood Charter - Elementary,KK-05¾,761,Atlanta Public Schools,87,92.2,50,91.8,NA,84.2,84.2,100.00%,90.75,85.77,100.00%,88.75,87.76,100.00%,79.42,73.31,100.00%,77.95,87.99
